No.,body
37,"A Charleston man, Joe Briggs, said that he became possessed by the Devil himself after watching a horror movie that was, coincidentally, about a violent exorcism.Briggs, 30, saw the film, American Guinea Pig: Song of Solomon at a local screening, and said the film was so jarring and sickening, that he left the theatre feeling physically ill.“Several people had to leave the theatre during the show, and at least one person I saw passed out in their seat,” said Briggs. “I made it all the way through, but the movie was horrific, and I felt physically ill while watching it. Once it was over, I could barely move.”Paramedics were called and transported Briggs to the hospital, where he was kept in intensive care for several days. Doctors who examined him could not figure out why he was having such a violent, physical reaction to a movie.“The patient began to exhibit signs of a definite surreal, ‘not of this world’ sort of nature,” said Dr. Charles Lee Ray, who attended for Briggs. “After a couple of days, he began to develop sores, sweats, and was bleeding through his pores. One evening, he punched a nurse in the face, and she was knocked clear across the room, over 20 feet. Once he began speaking in ancient Aramaic, we called in a priest.”Father Gary Lorde was brought in and confirmed demonic possession, and spent 4 days performing an exorcism.“We had to move Briggs from the hospital, as an exorcism is an extremely long, grueling, and terrifying thing to witness,” said Lorde. “He was brought to a local rectory for spiritual treatment. In the end, we were able to remove the demonic spirit from Briggs, but there’s no telling with this ordeal has done to his mortal soul.”“I think I’m going to be okay,”said Briggs. “I’m looking forward to picking up the movie when it comes out on blu-ray.”"
38,"“It’s been a long ride, and we are very grateful,” read a tweet posted by the show’s official page. They also posted an imaging of a crying Spongebob.The show has been a phenomenon of epic proportions for almost 2 decades, and the news struck many young adults directly in the nostalgia section of their heart.“This is the worst thing that has ever happened in my life,” said one Facebook user. “If it came down to whether or not to keep Spongebob on the air, or bring my Grandfather back from the dead, I’d keep Spongebob.”"
39,"James Holmes, 57, has filed a lawsuit against his former middle school for teaching him abstinence, as he said that they taught him that he would “burn in hell” if he ever had sex, or even masturbated.From World News Daily Report:Holmes says the sexual education he received at the Jemison High School was “traumatizing” and has caused him some severe psychological problems.In an interview with ABC, he described the content of the sexual education classes which he says caused his psychological trauma.“They taught us that God would smite us if we masturbated and that we would burn in Hell for eternity if we had sex before marriage. They showed us pictures of genitals infected with STDs and told us it was what God did to adulterers.”These classes had such an impact on Mr. Holmes that whenever he thinks about sex, even today, he suffers from a severe panic attack.“I’m 47-year old and I’m still a virgin. Every time I think of sex I remember these purulent genitals, so I start panicking, sweating and even vomiting.” In 2012, he was diagnosed with a Sexual aversion disorder (SAD), a disorder characterized by disgust, fear, revulsion, or lack of desire in consensual relationships involving genital contact.This type of psychological disorder is usually caused by some traumatic event which causes sex to be associated with a painful experience.He had to undergo years of psychotherapy and is still heavily medicated, that’s why he demanding almost half a million dollars from his former school.Holmes’ lawyer says that he believes that the case is a “slam dunk.” Holmes claims that the first thing he plans to do after receiving his winnings is to pay a “lady of the night” to finally take his virginity, but he hopes that he can find a nice one so that afterwards he can settle down."
40,"From The Hard Times:“Frankly, I’m worried for our future,” said the outspoken Syndrome. “These Millennial Juggalos don’t know their asses from their elbows! They’re a bunch of assed-out tricks who don’t have the work ethic to hatchet their way out of a wet paper bag.”Syndrome admitted his worry grew after attending last summer’s Gathering of the Juggalos.“It was some straight Jugga-ho behavior, to be completely honest with you,” noted Syndrome. “This one youngin’ was talkin’ shit about how Faygo’s loaded with high fructose corn syzurup or some shit, and that we should try drinking water every once in a while. That’s some seriously wack shit. For real.”Syndrome blames parents in his age group for raising a generation of coddled, entitled “Juggaflakes.”“Back in the day, we worked for what we wanted. Nobody handed me anything when I was coming up. Nowadays, these young Juggs show up demanding blunts and whip-its like they grow on trees or something,” barked Syndrome. “They’re lucky I don’t straight up whoop they scrub asses.”Old timers in other musical gangs, including those in the KISS Army, say they, too, can relate to the struggle, but remain hopefully that the next generation will eventually follow suit."
41,"Justin Bieber announced today that he has signed a $2 million contract with Brazzers, the adult website, with plans to complete 5 pornographic films. Sources close to the film company say one of those movies may also star Selena Gomez, Bieber’s on-again, off-again lover.Bieber began his career in music over a decade ago, after being discovered on YouTube. Since then, he has released several extremely successful albums, and has appeared many times on the covers of tabloids throughout the world.“Now that he is no longer selling records, and his popularity is dipping, he is desperate for money,” says an anonymous source close to the musician. “I think this is a bad decision, really. Most of his fans are young girls, under 18, and they shouldn’t be allowed to see this stuff…but you know they will seek it out. It will ruin his already tarnished reputation.”"
42,"A teen has died from a rabies infection after police say he was trying to domesticate a wild bat. Reports indicate that the teen, Stanford Guterson, purposely allowed the rodent to bite him, with the intention of turning into a vampire.From World News Daily Report:The young teenager who was fascinated with the idea of becoming a vampire possibly got bitten or scratched by the animal in a “satanic ritual” according to family members and friends.Guterson was allegedly the victim of bullying at school and believed he could reenact revenge upon his enemies through the process of acquiring supernatural powers by “turning into a vampire” said one of his close friends.“He was really into the dark occult shit and hoped that if he got bit by or had sex with a bat it might help him become a vampire,” his best friend Malcolm Jackson told reporters.According to Jackson, [Guterson] also frequently drank blood from his 56-year-old unemployed girlfriend who did not respond to media requests for an interview and was not available for comments.Police say that, despite initial rumors, there is no new internet “bat bite challenge,” and they believe that this is an isolated incident from an isolated loser."
43,"President Trump, who has been friends with WWE owner Vince McMahon for many years, and who has been a part of wrestling events in the past, will be appearing at tonight’s Royal Rumble in Philadelphia. Normally he’d be relegated to a sideline role, or a walk-in part where he may speak,  but this event will be very different. Trump will actually be wrestling in the Rumble match.“President Trump was asked to participate, and he said yes,” said White House spokesman Giles Anderson. “He and Vince McMahon are longtime friends, and he missed working with the WWE. It was President Trump’s suggestion that he actually participate in a physical role.”Trump has secretly been training in the ring for the last 6 months in anticipation of tonight’s event, and is saying that he is confident in his abilities.“I obviously will not be winning the match, I don’t think anyone expects that,” said President Trump. “But I will be able to hold my own with no problem.”"
44,"Tom Hanks is “America’s Favorite Actor,” but after allegations that just surfaced, many people might be re-thinking supporting his next role.One of Hanks’ most memorable roles from the early 00’s is the film Cast Away, where Hanks is marooned on a deserted island after a plane crash. The entire film revolves around only two main characters – Hanks, and his friend, a volleyball he names Wilson.Wilson the volleyball, who is represented by ICM Partners out of Los Angeles, recently released a statement through his lawyer that stated that Hanks sexually assaulted him throughout the entire filming of Cast Away, and then paid members of the production team to cover it up.“Mr. Hanks would often grab, run, and fondle Wilson the Volleyball, and despite his assertions that he did not want to be touched, Mr. Hanks did not desist,” said Martin Schuster, Wilson’s lawyer. “Although we understand that the statute of limitations has passed on this crime, Wilson has decided to finally come forward and release this information, so that other balls in Hollywood films can feel safer.”Hanks had no comment on the allegations, but since Wilson’s announcement, several other inanimate objects in film history have come forward alleging misconduct, including Rosebud, the sled from Citizen Kane, and the Ruby Slippers from The Wizard of Oz."
45,"A white college professor at Boston College, Mark Ryder, 38, underwent over 200 hours of expensive cosmetic surgery to look “as black as possible,” with hopes that he could prove to his Ethics in Law class that there was no such thing as a racial bias by police, and that the media like to hype up issues with African Americans by police.According to reports, though, Ryder was shot and later arrested by police after he tried to leave his doctor’s office and walk to his own car across the street.“My client was simply walking to his car, which happened to be a brand new Tesla, and was stopped by police,” said Ryder’s lawyer, Carlton Fisher. “They assumed he was stealing it, and despite when being asked to show his hands and complying, officers shot Mr. Ryder twice. He was struck in the arm and the ribs.”Police reports show that Ryder was “not cooperative” with police requests, and was shot after an officer believed he was reaching for a weapon. Naturally, the officer’s body camera was switched off.Ryder has since been released from prison, and is planning a lawsuit against the Boston PD. He has also retired from teaching Ethics in Law, stating that “English is a much easier, more straight-forward class.”"
46,"A man has filed for divorce only hours into his own wedding night after panicking after discovering that his new wife was not exactly what “she” claimed to be.Ken Spencer, 26, filed for a divorce with Tiana Smith, 28, only four hours into their wedding night, after discovering his partner had a penis.The newlyweds, who are both devout Catholics, and had waited until marriage to partake in any sexual relationship, were about to consummate their vows, when Spencer discovered things were not “as they should be.”“It’s short, stumpy and crooked. It leans on the right at a 45-degree angle, then curves back to the left. It’s definitely the grossest thing I’ve ever seen,” he explained. “I thought that Tiana was a woman. She…he…whatever. There was no mention that he was a man.”Divorce attorney Kevin Goldstein claims that his client was lied to about the sex of his partner, who had never told him that he was born a man, and still had a penis.Spencer is also suing his former partner for $30,000, which is what he estimated was spent in wedding costs, plus a canceled $5,000 honeymoon trip to Hawaii. “Tiana had sent me pics of her boobs and even a couple down-the-pants shots, and I still have them on my phone,” said Spencer. “She was definitely trying to deceive me. It was either someone else’s vagina, or she tucked it back. Either way, I’m sick just thinking about it. I’ll show them to the  judge, and he’ll agree with me.”In many states, the fraudulent conduct of one spouse may provide grounds for divorce. The definition of fraud in the context of divorce law equates to one spouse “grossly misrepresenting issues so important that the other spouse would not have married him had she known the truth.”"
47,"On Saturday evening at approximately 6 p.m., a mysterious light took over the skies in major US cities across the East Coast. People in New Hampshire, Massachusetts, Rhode Island and even parts of New York reported seeing a blue or green object streaking through the sky. Social media went crazy as well as news stations as people tried to figure out what was happening.NASA reported on Twitter that the sighting was a result of a U.S. Navy test: “Light seen in OC sky was confirmed through John Wayne Airport tower to be a Naval test fire off the coast. No further details.”On Sunday, police in several Eastern states had received nearly 845 missing persons reports of people who have just “disappeared.” 95% of the missing people reported by Sunday evening were women between the ages of 18 – 23. Police are saying they cannot confirm that the incident on Saturday evening has any connection to the missing persons reported.“What happened on Saturday evening in California has nothing to do with the amount of people that have gone missing since then,” said Detective Ron Alvarez of the New Hampshire Missing Persons Bureau. “It was a missile that everyone saw on Saturday and that is that. It has been confirmed by the Federal Aviation Administration as a missile, and people need to leave it just as that. In the meantime, we are doing everything we can to find the people that are missing.”Conspiracy theorists are not convinced by the government’s explanation of the enigmatic light after photos surfaced of strange, unknown creatures found dead in fields Western Maine. These theorists say that as quickly as these photos appear on Facebook, they are taken down."
48,"A Decatur man, 47-year-old Mark Perry, has found a legal loophole in Alabama law that will allow him to marry a 19-month-old baby. Perry, a lawyer for more than 20 years, said he discovered the loophole by accident almost a decade ago, but never thought that he, himself, would need it.“It wasn’t until I met Charlene that I knew, we had to be together,” said Perry. “She’s absolutely the one for me, and there’s no one I’d rather spend the rest of my life with.” The law in Alabama stipulates that a man must be of legal, consenting age to agree to marry, but the poor wording means that a woman could enter into marriage at any age. Because Charlene cannot sign her own name, though, her father will have to give consent and sign for her. Thankfully for Perry, Charlene is the daughter of his law partner, Craig Lewis. Lewis says that he is absolutely “overjoyed” at the thought of his long-time friend marrying his daughter.“Frankly, I wish that they would have found each other sooner,” said Lewis. “I’ve never seen Charlene so happy before in all of her life. Most of the time, she cries and whines, but not when she’s with Mark. He’s the only one who can calm her down. It’s really amazing, their love is so pure and true.”The couple are planning a spring wedding."
49,"Police in Boston arrested Martin Landon Jr., 33, after he was caught peeking into the third story window of an apartment building, reportedly watching a couple have sex, while he masturbated.The authorities were called after the couple happened to look out their window and see Landon staring in at them.“My first thought was ‘Oh my God, someone is staring at us!” said Joanne Lavey. “I thought it was my husband at first, and I was finally caught in the act. But it wasn’t, obviously. My second thought was, ‘How the hell is someone peeking at us? We’re on the third floor! By now my lover had also seen him, so the party was over, of course. He went limp immediately.'”When police arrived, they found Landon with his pants around his ankles and his penis in his hand. They also happened to notice that the man had an overly long neck, and was only standing on a couple of discarded boxes in order to see in the third story window.“Mr. Landon would be of average hight, possibly less, but because of his 3 foot tall neck, it really adds some height,” said police chief Richard Jameson. “In this situation, it caused a couple some massive distress. Frankly, I can’t blame them. If I were in the middle of a torrid affair, looking on my window and seeing Landon would be the last thing I’d want to happen.” "
50,"Jerry Newbury, 29, is currently trying to sue the state of Connecticut, saying that polygamous marriage should be made legal, at least in special cases like his.“I was born with two penises, and therefore, I should  be allowed to marry two women,” said Newbury, a construction worker in Watertown. “I have never been sexually satisfied just having one woman, but this isn’t even just about the sex. This is also about love. I’ve met two beautiful, amazing women, and they both want to marry me. This is a quest for love!”A lawyer for Newbury, Martin Preston III, Esq., argues that “the time for polygamy” has come.“We have interracial marriage, we have gay marriage. I think it’s time that if a man wants to marry multiple women, he should be allowed,” state Preston. “This man is doing a brave service. Think of how hard it is having one, bitchy, nagging wife. Mr. Newbury wants to take on TWO! Imagine how painful this will be for him when their cycles inevitably match up? It will be torture.”So far, the judge on the case has not made any formal ruling."
51,"A New Hampshire couple has been arrested after an anonymous tip lead police to find nearly 20,000 pounds of marijuana in the home.Carl and Debbie Rutherberg, both 40, said that they had “no intention” of selling the weed, or transporting it, they say the simply buy a lot, and don’t use it very often.“It’s for our glaucoma, and for our aches and pains,” said Carl Rutherberg. “We don’t sell it, we never have. We’re good, honest people, and this is a huge mistake.”Ironically, the couple live in New Hampshire, sandwiched between other states, such as Massachusetts and Maine, where marijuana has been legalized – albeit not in this amount.“If we had a couple plants, and lived an hour south, this would have been totally legal,” said Debbie. “Instead, we get a few hundred tons and are stuck in New Hampshire, and we’re in jail? Live Free or Die my ass.”The couple face felony drug charges that would send them away for life."
52,"An 8-month-old baby was recently discovered to be pregnant, after being hospitalized only a few hours after receiving a routine MMR vaccine.The baby, whose name is being withheld for privacy reasons, was slightly behind in her 6-month shots for MMR, and after taking ill, the mother brought the baby to a local hospital.“After conducting a battery of tests, we concluded that the baby girl was, in fact, pregnant,” said Dr. Martin Klein of Monmouth Regional Hospital. “This is the first time I have ever seen anything like this, and frankly, I’m completely stunned as to how this could have happened.”The mother of the child, Mary, said that she is “dumbfounded” about this, but that she knew that there was a reason that so many people were becoming anti-vaxx lately.“This movement of people not vaccinating their children, I always thought it was just because no one wants a retard baby, but this is just way worse than I thought,” said Mary. “I only wanted to raise one baby, and thanks to vaccines, now I have to raise two? How am I going to do that on a waitress’ salary? This is crazy. My husband is going to FLIP OUT.”"
53,"Former Hollywood producer and mogul Harvey Weinstein was recently fired from his position as CEO of The Weinstein Company after several woman accused of him of sexual assault, with more coming forward,  documenting decades of abuse. After he was also kicked out of the Academy of Motion Picture Arts and Sciences, Weinstein reportedly approached the FBI with a deal to list big Hollywood names of others who he knew for certain to be sex offenders or pedophiles.“Mr. Weinstein has given us well over 500 names, and many of them are quite shocking,” said FBI director Martin Roberts. “When we eventually move from investigation to arrests, many people will be extremely shocked and surprised at the people we take in. These are the creme de la creme of Hollywood elite, many of them are huge A-list stars.”There has long been talk of a secret ring of sex offenders and pedophilia that was rampant in Hollywood, but Harvey Weinstein’s downfall was just “the tip of the iceberg” according to Roberts.“We have since worked out a deal with Weinstein, the details of which are not up for discussion at this time,” said Roberts. “He has, though, been  moved in to witness protection, as many of the people he named had far-reaching power, and we are uncertain of his safety at this time.”"
54,"A haunted house in a small Maine town was shut down by police this past weekend after it was discovered that the proprietors were using real dead bodies as part of their displays.Maureen and Carl Taylor have been running the haunted house for over 10 years, but this year guests say something “just wasn’t right.”“I went through, and it smelled weird, which I thought was just those fog machines or something; they smell pretty bad sometimes,” said patron Mary Clarke. “But the further you went in, the worse it got, and then there were no fog machines. I walked right past what I thought was a prop body, but when I looked really closely, there were maggots coming out of the eye sockets. I nearly screamed!”The Taylors say that they have “no idea” how the dead bodies got inside, as they have been using the same store-bought props for the last decade. Police are questioning the Taylors, as well as other locals who visited the house. They say there were no reported break-ins at the morgue, and the local cemetery does not have any freshly dug-up sites.“It’s a real mystery, but these bodies just appeared out of nowhere,” said Police Chief Christopher Davis. “It’s really just disturbing. Last I checked, dead guys do not get up and walk away by themselves.”Police say that the Taylors are not suspects in any sort of cadaver tampering, but that they will be charged with criminal neglect, among other charges, for letting unknowing people that close to processed dead bodies."
55,"A Hollywood actress recently gave an interview with People Magazine, and made a startling revelation about her time in Tinsel Town.“I’ve never been raped, not even a little bit,” said the actress, who for now is keeping her identity a secret in fear that her story could cause her to miss out on roles. “I’ve worked with almost every major producer in town, at every studio, and not a single one has ever even tried to touch me, or show me their genitals, or even made a slight pass.”Many actresses are stepping up recently, with accusations against major Hollywood players, including Harvey Weinstein, former head of The Weinstein Company, who has since been fired and even release from The Academy over accusations of sexual assault.“I’ve worked with Harvey, and he was fine with me, but I definitely believe what these other women are saying,” said the actress. “You have to understand that Hollywood is a machine of pure sex. People use it to make or break their careers, and that’s not even getting into how deep it can go when we’re talking about child actors, and pedophilia.”The news comes as a major shock that an actress, who did reveal that she is an Oscar winner and has worked in Hollywood for more than two decades, has never been assaulted.“Frankly, I’m surprised to find that any woman hasn’t been raped in Hollywood, so it’s definitely a surprise,” said a top film producer who wished to remain anonymous. “I mean, I’ve worked with a lot of women over the years, and I’ve definitely at least gave them a quick grope or flashed myself, or sent a dick pic. So it’s really kind of crazy to find out there’s one that we haven’t gotten to yet.”"
56,"Rick Morris, head curator for the Smithsonian Museum, announced that their latest acquisition was from recently departed magazine magnate, Hugh Hefner – but this item is not a standard piece from his mansion or his offices.The Smithsonian has acquired from Hefner’s estate his actual, severed penis, which was removed during autopsy and has been dipped and preserved in 24 karat gold.“This is one of our biggest acquisitions as of late,” said Morris. “Both physically, and in purchase price. The emblazoned 9 inches cost us a record $2.9 million dollars.”The money was paid to Hefner’s estate, and will reportedly be used to pay some outstanding legal fees and taxes, with the remaining being divided by his heirs.The penis becomes part of the permanent display in Washington, D.C. on October 31st."
57,"At around 2:30 a.m. on September 30th, Greensburg police received a phone call from a worried resident saying that she heard very concerning sounds coming from an alleyway near her house.Officers who arrived on the scene say they found a twenty-something male dressed as a clown, eating a live cat whose legs were zip-tied together. The cat was still crying for help as the individual was seemingly eating around the vital spots, prolonging it’s death.“When the individual noticed us approaching, he started petting the cat and said ‘curiosity killed the cat, I wanted to see if it tasted like Chinese food,'” said Officer Mark Hanlan, who was first on the scene. “He was non resistant during arrest, however he did not have identification, and when asked his name he only replied ‘Furball The Clown.'”In the holding cell, police say the clown kept calling to a female officer, saying “here, kitty kitty,” and was trying bite the cell bars. He was transferred to a high security prison while awaiting trial, which is disturbingly scheduled for October 31st – Halloween day. Police were unable to determine the clown’s true identity."
58,"The Ohio river is known for its vast selection of weird fish and creatures in the water. People have reported seen everything from small, fresh-water sharks to barracuda. It seems that you can now officially add alligators to that list.On September 20th, Ben Shoemaker and his family were swimming in the Ohio river when they noticed something in the water.“It was an abnormally hot and humid day so we decided to take a dip,” said Shoemaker. “At first I thought it was a log floating along the fiver. The sucker must have been at least 9ft long, he was huge.”The same day, Cleveland local Lauri Dukes was picnicking in River Park when she spotted the behemoth ‘gator sunning on the park’s shore.“The only weapon I had was a plastic butter knife from my lunch,” said Dukes, 38. “I was was using it to spread mayonnaise on a sandwich, but I realized this ‘gator was a threat to the community, so I killed it with a swift stab through the eye.”The Ohio Parks Service noted that people should not approach dangerous animals when they see them, and that Duke is lucky that she wasn’t injured or killed.“Oh, hogwash, total hogwash,” said Ms. Duke. “That thing wasn’t going to hurt me, but it could have hurt some young child or a family. No way, you have to act and act face when you see danger. Now my family will be receiving Gator skin boots for Christmas this year, too.”"
59,"Netflix, one of the world’s largest media companies, has just announced that they have purchased the popular illegal torrent website The Pirate Bay. TPB, as its commonly known, is one of the biggest sources of illegal online traffic, providing links for downloads of movies, music, pornography, and even textbooks.Of the top 200 links on the website, 40 of them are Netflix properties, including the lastest film in the Child’s Play series, as well as Orange is the New Black, Stranger Things, and several stand-up comedy specials. With the knowledge that many of their owned works were being bootlegged, Netflix CEO Reed Hastings said he decided the best course of action was to buy the site.“A lot of these websites, they claim to have some sort of principles, like they aren’t in it for the money, but for the freedom of information,” said Hastings. “Frankly, that’s bullshit. Of course they’re in it for the money. No one does anything without an endgame, and theirs was to get rich on someone else’s work – in this case movies, music, and TV. Knowing that, I went to them with an offer, and they accepted.”Although the details of the deal were not made public, sources speculate that the purchase probably cost Netflix somewhere in the nature of $250 million. Their plans are to keep the site active, and charge users on a per-download basis.“No use shutting it down entirely, that would be stupid,” said Hastings. “Instead, we’re going to keep it going, but no one will be taking our product anymore. They can pay for it like everyone else.”"
60,"A controversial new independent film has caused an extreme reaction from moviegoers, after it was screened in downtown Detroit. The film, which portrays Jesus Christ as a homosexual who has been cast from Heaven by God, created such an extreme negative reaction during the premiere, that the crowd destroyed the theatre by setting it on fire, causing over $2 million in damages.Gay For Pray: The Erotic Adventures of Jesus Christ was released this month through an independent film releasing company, and is the first-known depiction of Jesus as a homosexual on film. The movie is being called one of the most highly controversial of all time, and the director says that he is “overjoyed” by the reaction.“There’s nothing that could possibly be better than a crowd that is so moved by a film that they actually burn the theatre to the ground,” said Nathan Rumler, the filmmaker behind the movie. “I hope that at every screening they end up destroying the place, it would be a dream come true to leave that kind of mark on the movie going public.”Many people who were at the screening refused to identify themselves in fear they might be held liable for the damage, but Empire News managed to speak to one woman who was there during the premiere.“As a devout Christian, I was appalled at what I saw in this movie,” said Margaret Richards, who attended the screening. “I had no idea what the movie was about, but the theatre had given free passes. This movie is the most offensive thing I’ve ever seen. It has blackface! And nasty sex talk and…sex items shaped like the Cross! Jesus is most definitely not gay, the Bible would have said so, and wouldn’t have told us to hate homosexuals if he was! This movie was the most blasphemous thing I’ve witnessed in my life. And the violence, and the language! And a naked girl bends over and shows her hoo-ha to everyone! I am disgusted just thinking about it.”Rumler agrees that the movie is extremely offensive, but that in this day and age, freedom of speech is important.“In a time where NFL players are being lambasted for kneeling down during our National Anthem, I applaud freedom of speech. I applaud vulgarity and sex, nudity and extreme violence!” said Rumler. “If someone doesn’t like it, that’s really not my problem. It probably shouldn’t have been something they watched in the first place. I’m not going to sit down and watch The Notebook just so I can burn the theatre down in anger, am I? Hell no.”The film will continue to show in limited run at festivals and events throughout the remainder of the year, but Rumler says he has “no plans at all” to pull the release. "
61,"Whoopi Goldberg, perhaps best known for her work on TVs The View, or from films like Boys on the Side and The Color Purple, made a horrific film in 1995 called Theodore Rex, about a cop who is partnered with a dinosaur. Despite being legally obligated to perform in the film, Goldberg has had nothing good to say about it, at least until now.In a segment on The View, one of the other members of the panel brought up the film, and for the first time, Whoopi opened up about her time on set.“We were in mega lawsuits about this movie, and in the end, I was forced to take the job, and I was miserable,” said Goldberg. “It wasn’t until I met Teddy that things really took a turn for the amazing. It was the most in love I’ve ever been, and I’ve never forgotten it.”To be clear, Whoopi went on to say that it was not the actor in the Theodore Rex rubber suit she fell in love with, but the actual character – the suit itself.“We went out on a lot of dates, and it was sexy, it was fun,” said Goldberg. “It didn’t matter who was in the suit. I got a lot of different guys to be in the suit over our few months together. But I tell you, nothing compares to going to bed with a tyrannosaurus rex. He may have tiny arms, but damn does he make up for it by having a large…tail.”  "
62,"Complete chaos erupted at Shady Creek Assisted Living and Retirement Home community in Detroit, Michigan when a scheduled outing to Dunkin’ Donuts was canceled with no explanation. Elderly people living in that community start a riot in the center with canes and walkers, while one elderly resident was swinging his life alert necklace in the air, cutting a nurse in the face inside the facility. One couple, who managed to get outside of the facility, were caught spray painting “Fuck The Cops” outside one of the windows.“It was complete madness, I’ve never seen anything like it,” said Nancy Reeder, head nurse. “Mr. Norman came up behind me, grabbed my arm and bit down with his teeth. As he pulled away, his dentures locked onto my skin leaving him in shock and without any teeth. That’s when I kicked him behind the knee, and he fell to the ground where I was able to restrain him.”The incident began last week in a previous Dunkin’ Donuts outing that left 10 of the elderly residents with stomach cramps and diarrhea.“It was an awful mess we had to clean up,” said Reeder. “Their aging stomachs can’t really handle all of that sugar. So we decided to cancel all future outings. Apparently, not all of them were in agreement.”In all, 29 people were injured. Out of the 29, 18 were residents of Shady Creek, 5 were nurses, and 6 visitors who were caught in the chaos. None of the injuries were life-threatening – just a few broken hips, bruises, and scratches."
63,"Epic tropical storm-turned hurricane Harvey has uprooted a number of people throughout Texas, as the state gets hit with nearly 7 feet of rain, and winds reaching upwards of 100 mph.In the mix of all the tragic news of people losing everything to flood waters, is something even more sinister. Thousands of prehistoric, long-though-extinct fish are showing up in the flooded basements and living rooms of some Texas residents.“I went in to determine the damage, and it scared the shit right out of me,” said Darius Greene, a homeowner in Forth Worth. “It must have been about 20 feet long, and had sharp scales, like nothing I’ve ever seen, and I spent years on a boat as a deep sea fisherman. I was terrified.”Paleontologists from around the world have been flocking to Texas to try and see how many different species they may find. So far, the oldest is a fish that is nearly 20,000 years old, and thought to have been extinct before humans even existed."
64,"The parents of a 3 year old girl woke up to tragedy Monday morning as their child was found dead in her bed. The cause of death, reported by the Los Angeles Coroners Department, was due to a faulty light up fidget spinner that electrocuted the child, giving her 3rd degree burns on the face as she slept with it as it was charging in her bed.Experts are warning parents of the dangers of purchasing fidget spinners from China, as this is not the first incident of injury. Over 100 children have been injured or killed since their release earlier this year.“You should never leaving any devise in your bed while it’s charging,” said lead detective Louis Miguel. “We have seen this a number of times, mostly with cell phones. But these fidget spinners are injuring children in large numbers.”The child was pronounced dead at the scene. The fidget spinner was made in China and purchased online."
65,"Juan Carlos Rodriguez, 27, went to dinner at his girlfriend Maria’s home on Tuesday. Unfortunately, the food was not was he was used to eating, and shortly after his meal, he began feeling the need to start passing gas. Because he didn’t want to have an embarrassing moment in his girlfriend’s house, he began holding them in, which lead to his untimely death.At about eight o’clock in the evening, Rodriguez fell to the ground, holding his stomach. His girlfriend called an ambulance but he was pronounced dead at the scene. The coroner’s report showed “acute toxic poisoning,” which Rodriguez developed from holding in his farts for an excessively long time.According to Dr. Julio Igleasias, holding in flatulence can cause the “essence” of the fart to seep into your blood stream, and cause a massive heart attack.“Juan Carlos never knew what hit him, unfortunately,” said Dr. Igleasias. “If he had opted for the salad instead of the spicy beans, he may still be alive today.”"
66,"A family from Tulsa, Oklahoma, underwent the scariest experience of their life yesterday, when their mobile home was carried over 130 miles by strong winds from Hurricane Harvey, landing in a rural Kansas area. Five members of the same family were inside the building during its “flight”, and all of them have miraculously survived without injuries.41-year old Dorothy Williams, was at home with her husband, her son, and her two brothers, when their mobile home was lifted off the ground by the strongest hurricane on record.The powerful winds reaching more than 520 miles per hour, carried and shook the mobile home for 4 hours and 18 minutes, sometimes at altitude of more than 1000 feet. After carrying the house across Northern Colorado and Southern Kansas, the tornado finally dropped it on a car, just outside of Wichita, 129.5 miles (208.5 kilometers) away from its point of origin.A few locals have witnessed the landing, like Michael Johnson, a 63-year old neighboring farmer,  who describes an incredibly spectacular scene.“I saw something in the sky that looked like a plane without wings” says Mr. Johnson. “I seemed to be flying clumsily towards the ground, as if it was trying to land. It was probably 300 feet from me when I finally understood the it was a mobile home, and I freaked out. It landed directly on my neighbor’s car, which partially collapsed from the shock, but still rolled for almost 100 feet after the impact. It made an incredibly loud, crashing sound, and debris was flying everywhere. I thought I was going to die.”The 60-feet long mobile home landed on an unoccupied car. The building has suffered surprisingly little structural damage considering the distance over which it was transported.Despite the violence of the crash, with the house landing at a speed of more than 90 miles per hour, the incident did not cause any death or serious injury. All five occupants of the house have miraculously survived their incredible misadventure, suffering only a few scratches and bruises."
67,"The world’s most famous transgender person, and total obnoxious asshole Caitlyn Jenner, says that she has become “completely bored” being a woman, and thinks it’s time that she transitions back to a men, and goes back to being just “plain old Bruce.”“Being a girl is fun for a bit. I have some bitchin’ tits, and yeah, I got rid of my penis, but I miss it. We were together a long time,” says Jenner. “I think I’d like to have it back. I walk through my house, and I see myself on the hundreds of Wheaties boxes I collected, and I like the way I looked then. It’s time for another change.”Jenner says that the plan is to return to manhood after she has the nude photos done for Playboy.“No matter what anyone says, I’m baring it all for the nude spread,” said Jenner. “That shoot is going to make me a fortune. Everyone is going to want to see that – even those bigots who say they’re disgusted by it. You know they’re going to sneak a spank to it. I’m very excited.”After Jenner transitions back, she says she wants everything to just “return to normal.”“I’m honestly kind of sick of being in the public eye, being on TV, being a public icon and an American hero multiple times over,” said Jenner. “It’s going to be nice to just be Bruce again.”"
